tempo,last_lap_ms,current_lap_ms,setor1_ms,setor2_ms,setor3_ms,delta_carinfront_ms,delta_leader_ms,lap_distance,total_distance,delta_safetycar,grid_position,car_position,num_current_lap,pit_status,num_pitstops,num_setor,current_lap_invalid,penalties,total_warnings,corner_cutting_warning,num_unserverdDT,num_unserverdSG,driver_status,result_status,pitlane_timer_active,pitlane_time_inlane_ms,pitstop_time_ms,pitstop_shouldserve_pen,fastest_speed,num_fastlap
41.122,0,0,0,0,0,0,0,"(136.28515625,)","(136.28515625,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
41.259,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
41.271,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
41.302,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
41.328,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
41.385,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
41.444,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
41.474,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
41.532,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
41.596,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
41.624,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
41.685,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
41.75,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
41.783,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
41.85,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
41.885,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
41.952,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
41.986,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
42.054,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
42.09,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
42.122,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
42.192,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
42.23,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
42.3,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
42.337,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
42.405,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
42.44,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
42.476,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
42.546,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
42.582,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
42.652,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
42.687,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
42.722,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
42.792,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
42.827,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
42.899,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
42.935,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
43.006,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
43.041,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
43.076,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
43.146,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
43.182,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
43.252,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
43.288,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
43.322,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
43.392,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
43.427,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
43.497,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
43.532,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
43.601,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
43.637,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
43.708,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
43.744,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
43.779,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
43.849,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
43.884,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
43.955,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
43.989,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
44.024,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
44.094,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
44.13,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
44.2,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
44.236,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
44.307,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
44.342,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
44.378,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
44.448,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
44.483,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
44.553,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
44.587,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
44.622,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
44.691,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
44.724,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
44.788,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
44.853,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
44.886,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
44.947,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
44.978,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
45.038,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
45.097,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
45.127,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
45.186,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
45.244,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
45.274,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
45.333,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
45.393,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
45.423,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
45.483,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
45.543,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
45.574,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
45.634,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
45.695,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
45.726,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
45.79,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
45.85,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
45.882,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
45.944,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
45.975,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
46.035,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
46.096,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
46.126,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
46.186,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
46.245,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
46.274,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
46.334,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
46.393,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
46.422,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
46.481,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
46.539,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
46.599,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
46.628,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
46.687,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
46.746,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
46.775,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
46.836,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
46.895,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
46.925,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
46.986,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
47.046,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
47.075,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
47.137,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
47.197,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
47.228,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
47.288,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
47.348,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
47.377,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
47.436,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
47.493,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
47.522,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
47.581,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
47.638,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
47.694,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
47.723,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
47.781,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
47.838,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
47.895,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
47.924,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
47.982,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
48.039,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
48.096,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
48.125,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
48.184,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
48.243,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
48.273,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
48.332,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
48.392,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
48.423,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
48.482,0,0,0,0,0,0,0,"(-4158.1279296875,)","(-4158.1279296875,)","(-0.0,)",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,255
